col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
Utgoff," P.	Perceptron trees: A case study in hybrid concept representations.	?","	(pp. 601-606).	?","	?","	?","	Boston"," MA:	Morgan Kaufmann. Appeared in: Machine Learning: Proceedings of the Eighth International       Workshop (ML91).     	Proceedings of the Seventh National Conference on Artificial Intelligence	?","	?","	?","	?","	(1988).	?",?,"	?","	?"
Utgoff," P. E.	Perceptron trees: A case study in hybrid concept representations.	?","	(pp. 601-606).	?","	?","	Morgan Kaufmann.	St. Paul"," MN:	?","	Proceedings of the Seventh National Conference on Artificial Intelligence	?","	?","	?","	?","	(1988).	?",?,"	?","	?"
Utgoff," P. E.	Perceptron trees: A case study in hybrid concept representations.	?","	(pp. 601-606).	?","	?","	Morgan Kaufmann.	St. Paul"," MN:	?","	Proceedings of the Seventh National Conference on Artificial Intelligence	?","	?","	?","	?","	(1988).	?",?,"	?","	?"
Utgoff," P. E.	ID5: An incremental ID3.	?","	(pp. 107-120).	?","	?","	Morgan Kaufmann.	Ann Arbor"," MI:	?","	In Proceedings of the Fifth International Conference on Machine Learning	?","	?","	?","	?","	(1988a).	?",?,"	?","	?"
Utgoff," P. E.	ID5: An incremental ID3.	?","	(pp. 107-120).	?","	?","	Morgan Kaufmann.	Ann Arbor"," MI:	?","	In Proceedings of the Fifth International Conference on Machine Learning	?","	?","	?","	?","	(1988a).	?",?,"	?","	?"
Utgoff," P. E.	Perceptron trees: A case study in hybrid concept representations.	?","	(pp. 601-606).	?","	?","	Morgan Kaufmann.	St. Paul"," MN:	?","	In Proceedings of the Seventh National Conference on Artificial Intelligence     	?","	?","	?","	?","	(1988b).	?",?,"	?","	?"
Utgoff," P. E.	Perceptron trees: A case study in hybrid concept representations.	?","	(pp. 601-606).	?","	?","	Morgan Kaufmann.	St. Paul"," MN:	?","	In Proceedings of the Seventh National Conference on Artificial Intelligence     	?","	?","	?","	?","	(1988b).	?",?,"	?","	?"
"P. Utgoff	. Incremental induction of decision trees.	Vol.4","	161-186.	?","	Machine Learning.	?","	?","	?","	?","	?","	?","	?","	?","	(1989)	?",?,"	?","	?"
Utgoff," P.E.	Incremental induction of decision trees.	4:	161-186.	?","	Machine Learning	?","	?","	?","	?","	?","	?","	?","	?","	(1989)	?",?,"	?","	?"
Utgoff," P. E.	Improved training via incremental learning.	?","	(pp. 362-365	?","	?","	Morgan Kaufmann.	Ithaca"," NY:	?","	In Proceedings of the Sixth International Workshop on Machine Learning	?","	?","	?","	?","	(1989a).	?",?,"	?","	?"
Utgoff," P. E.	Improved training via incremental learning.	?","	(pp. 362-365	?","	?","	Morgan Kaufmann.	Ithaca"," NY:	?","	In Proceedings of the Sixth International Workshop on Machine Learning	?","	?","	?","	?","	(1989a).	?",?,"	?","	?"
Utgoff," P. E. and Brodley C. E.	An incremental method for finding multivariate splits for decision trees.	?","	(pp. 58-65).	?","	?","	Morgan Kaufmann.	Austin"," TX:	?","	In Proceedings of the Seventh International Conference on Machine Learning     	?","	?","	?","	?","	(1990)	?",?,"	?","	?"
Utgoff," P. E. and Brodley C. E.	An incremental method for finding multivariate splits for decision trees.	?","	(pp. 58-65).	?","	?","	Morgan Kaufmann.	Austin"," TX:	?","	In Proceedings of the Seventh International Conference on Machine Learning     	?","	?","	?","	?","	(1990).	?",?,"	?","	?"
D. W. Aha," D. Kibler & M. K. Albert.	Instance-based learning algorithms.	6(1)	37-66.	?","	Machine Learning	?","	?","	?","	?","	?","	?","	?","	?","	(1991)	?",?,"	?","	?"
Pazzani, M. & Kibler," D.	The utility of knowledge in inductive learning.	v. 9	1.	?","	Machine Learning	Kluwer Academic Publishers.	Boston"," MA:	?","	?","	?","	?","	?","	?","	(1992).	?",?,"	?","	?"
Utgoff," P. E.	An improved algorithm for incremental induction of decision trees.	?","	(pp. 318-325).	?","	?","	Morgan Kaufmann.	New Brunswick"," NJ:	?","	In Proceedings of the Eleventh International Conference on Machine Learning     	?","	?","	?","	?","	(1994).	?",?,"	?","	?"
Utgoff," P. E.	An improved algorithm for incremental induction of decision trees.	?","	(pp. 318-325).	?","	?","	Morgan Kaufmann.	New Brunswick"," NJ:	?","	In Proceedings of the Eleventh International Conference on Machine Learning     	?","	?","	?","	?","	(1994).	?",?,"	?","	?"
Utgoff," P. E.	An improved algorithm for incremental induction of decision trees.	?","	(pp. 318-325).	?","	?","	Morgan Kaufmann.	New Brunswick"," NJ:	?","	Machine Learning: Proceedings of the Eleventh International Conference	?","	?","	?","	?","	(1994).	?",?,"	?","	?"
Fahlman," S.E.	Fast-Learning Variations on BackPropagation: An Empirical Study.	?","	pp. 38-51.	(1988).	?","	Morgan Kaufmann.	?","	?","	Proceedings of the 1988 Connectionist Models Summer School.	?","	?","	?","	?","	?","	?",?,"	?","	?"
"S. E. Fahlman and C. Lebiere.	The cascade-correlation learning architecture.	volume2","	pages 524-532.	(1990)	?","	Morgan Kaufmann.	?","	?","	Advances in Neural Information Processing Systems	In D. S. Touretzky", (ed.),"	?","	?","	?","	?","	?",?,"	?","	?"
"Fahlman S. and Lebiere C.	The Cascade Correlation Learning Architecture.	volume2","	?","	(1990).	?","	Morgan Kaufmann.	?","	?","	Advances in Neural Information Processing Systems	In D. Touretzky (Ed)","	?","	?","	?","	?","	?",?,"	?","	?"
"S. Fahlman and C. Lebiere.	The cascade-correlation learning architecture.	volume2	pages 524-532","	1989.	?","	Morgan Kaufmann.	Denver", CO,"	?","	In Adv. in Neural Info. Processing Systems	?","	?","	?","	?","	?","	?",?,"	?","	?"
"S.E. Fahlman and C. Lebiere.	The cascade-correlation learning architecture.	2","	524-532","	1990.	?","	?","	?","	?","	Advances in Neural Information Processing Systems	ed. D.S. Touretsky.	?","	?","	?","	?","	?",?,"	?","	?"
Fahlman, S. and Lebiere," C.	The cascade-correlation learning architecture.	2	(pp. 524-532.).	(1990).	?","	Morgan Kaufmann Publishers","	Los Altos CA.	?","	Advances in Neural Information Processing Systems	In D.S. Touretzky (Ed.)","	?","	?","	?","	?","	?",?,"	?","	?"
"P.E. Utgoff.	Incremental induction of decision trees.	(4):	161-186	1989.	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	?","	?",?,"	?","	?"
"P. E. Utgoff.	Shift of bias for Inductive Concept Learning.	II.	?","	?","	?","	Morgan Kaufman","	?","	?","	In Machine learning	?","	?","	?","	?","	1986.	?",?,"	?","	?"
"P.E. Utgoff.	Incremental induction of decision trees.	(4)	:161-186","	?","	Machine Learning","	?","	?","	This article was processed using the L a T E X macro package with LLNCS style	?","	?","	?","	?","	?","	1989.	?",?,"	?","	?"
Utgoff," P. E.	Incremental induction of decision trees.	4	161-186.	?","	?","	?","	?","	?","	Machine Learning	?","	?","	?","	?","	1989.	?",?,"	?","	?"
Utgoff," P. E.	Incremental induction of decision trees.	4	161-186.	?","	?","	?","	?","	?","	Machine Learning	?","	?","	?","	?","	1989.	?",?,"	?","	?"
Utgoff," P. E.	Incremental induction of decision trees.	4(2)	161-186.	?","	?","	?","	?","	?","	Machine Learning	?","	?","	?","	?","	1989.	?",?,"	?","	?"
Utgoff," P.E.	Incremental induction of decision trees.	4(2)	161-186.	?","	Machine Learning	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,"	?","	?"
Pazzani M," Kibler D.	The utility of knowledge in Inductive learning.	;9	:57-94.	?","	Machine Learning	?","	?","	?","	?","	?","	?","	?","	?","	1992	?",?,"	?","	?"
Utgoff," P.	Shift of bias for inductive concept learning.	Vol II	(pp. 107-148	?","	?","	Morgan Kaufmann.	Los Altos:	?","	Machine Learning: An Artificial Intelligence Approach:	In R. Michal ski", J. Carbonell and T. Mitchell (Eds.),"	?","	?","	?","	(1986).	?",?,?,"	?","	?"
Utgoff," P.	Shift of bias for inductive concept learning.	Vol II	(pp. 107-148	?","	?","	Morgan Kaufmann.	Los Altos:	?","	Machine Learning: An Artificial Intelligence Approach:	In R. Michal-ski", J. Carbonell and T. Mitchell (Eds.),"	?","	?","	?","	(1986).	?",?,?,"	?","	?"
Utgoff," P.	ID5R: An incremental ID3.	27	(pp. 107 - 120).	?","	?","	Morgan Kaufmann.	Ann Arbor"," Michigan:	?","	Proceedings of the Fifth International Conference on Machine Learning	?","	?","	?","	?","	(1988).	?",?,?,"	?","	?"
Utgoff," P.	ID5R: An incremental ID3.	28	(pp. 107 - 120).	?","	?","	Morgan Kaufmann.	Ann Arbor"," Michigan:	?","	Proceedings of the Fifth International Conference on Machine Learning	?","	?","	?","	?","	(1988).	?",?,?,"	?","	?"
"S. E. Fahlman & C. Lebiere.	The cascade-correlation learning architecture.	volume2","	524-532.	(1990)	?","	Morgan Kaufmann.	San Mateo"," CA:	?","	Advances in Neural Information Processing Systems	In D. S. Touretzky (ed.)","	?","	?","	?","	?","	?",?,?,"	?","	?"
"P. E. Utgoff and T. M. Mitchell.	Acquisition of Appropriate Bias for Inductive Concept Learning.	?","	?","	?","	?","	?","	Pittsburgh", PA,"	?","	In Proc. of AAAI-82","	?","	?","	?","	?","	1982.	?"
"John S. Conery and Dennis F. Kibler.	AND parallelism in logic programs.	?","	pages 539-543","	?","	?","	William Kaufmann"," Los Altos.	Karlsruhe", Germany,"	?","	In Proceedings of International Joint Conference on Artificial Intelligence","     	?","	?","	?","	?","	1983.	?"
Mitchell, T.M.; Utgoff, P.E.; and Banerji," R.B.	Learning by experimentation: Acquiring and refining problem-solving heuristics.	?","	?","	?","	Machine Learning.	Morgan Kaufmann.	?","	?","	?","	?","	?","	?","	?","	1983.	?"
Mitchell, T.M.; Utgoff, P.E.; and Banerji," R.B.	Learning by experimentation: Acquiring and refining problem-solving heuristics.	?","	?","	?","	?","	Morgan Kaufmann.	?","	?","	In Machine Learning.	?","	?","	?","	?","	1983.	?"
"Dennis Kibler.	Natural generation of heuristics by transforming the problem representation.	?","	?","	?","	?","	?","	?","	?","	?","	?","	?","	Department of Computer Science", University of California at Irvine,"	?","	1985.	Technical Report TR-85-20"
"D. Kibler.	Natural generation of heuristics by transforming the problem representation.	?","	?","	?","	?","	?","	?","	?","	?","	?","	?","	Computer Science Department", UC-Irvine,"	?","	1985.	Technical Report TR-85-20"
Utgoff," P. E.	Shift of bias of induc tive concept learning.	Vol II.	107-148.	?","	?","	Morgan Kaufmann Publishers.	?","	?","	Machine Learning: An Artificial Intelligence Approach","	In Michalski", R.S.; Carbonell, J.G.; and T.M., Mitchell,"	?","	?","	?","	1986"
Utgoff," P. E.	Shift of bias of inductive concept learning.	Vol II.	107-148.	?","	?","	Morgan Kaufmann Publishers.	?","	?","	Machine Learning: An Artificial Intelligence Approach","	In Michalski", R.S.; Carbonell, J.G.; and T.M., Mitchell,"	?","	?","	?","	1986"
Utgoff," P. E.	Shift of bias of inductive concept learning.	Vol II.	107-148.	?","	?","	Morgan Kaufmann Publishers.	?","	?","	Machine Learning: An Artificial Intelligence Approach","	In Michalski", R.S.; Carbonell, J.G.; and T.M., Mitchell,"	?","	?","	?","	1986"
Utgoff," P. E.	Shift of bias of inductive concept learning.	Vol II.	107-148.	?","	?","	Morgan Kaufmann Publishers.	?","	?","	Machine Learning: An Artificial Intelligence Approach","	In Michalski", R.S.; Carbonell, J.G.; and T.M., Mitchell,"	?","	?","	?","	1986"
Utgoff," P. E.	Shift of bias of inductive concept learning.	Vol II.     	107-148.	?","	?","	Morgan Kaufmann Publishers.	?","	?","	Machine Learning: An Artificial Intelligence Approach","	In Michalski", R.S.; Carbonell, J.G.; and T.M., Mitchell,"	?","	?","	?","	1986"
Utgoff," P.	Shift of bias for inductive concept learning.	?","	107-148.	?","	?","	Morgan Kaufmann:	Los Altos"," CA.	?","	Machine Learning: An Artificial Intelligence Approach II.	editors In Michalski", R.; Carbonell, J.; and Mitchell, T.,"	?","	?","	?","	1986"
Utgoff," P. E.	Shift of Bias for Inductive Concept Learning.	?","	?","	?","	?","	?","	?","	?","	?","	In R. S. Michalski"," J. G.	?","	?","	?","	1986.	?"
"P.E. Utgoff.	Shift of bias for inductive concept-learning.	?","	pages 107-148.	?","	?","	Morgan Kaufmann","	?","	This article was processed using the L a T E X macro package with LLNCS style	Machine Learning: an artificial intelligence approach","	In R.S Michalski", J.G. Carbonell, and T.M. Mitchell, editors,"	?","	?","	?","	1986.	?"
"P E Utgoff.	Shift of bias for inductive concept learning.	(Volume 2).	?","	?","	?","	Morgan Kaufmann","	?","	?","	Machine Learning: An Artificial Intelligence Approach	In R S Michalski", J G Carbonell, and T M Mitchell, editors,"	?","	?","	?","	1986.	?"
"P. Utgoff.	Shift of bias for inductive concept learning.	volume III.	?","	?","	?","	Morgan Kaufmann","	San Mateo", CA, USA,"	?","	In Machine Learning: An Artificial Intelligence Approach","	?","	?","	?","	?","	1986.	?"
P. E. Utgoff,"	?","	?","	?","	?","	?","	Kluwer Academic Publishers","	Boston"," MA:	?","	Machine Learning of Inductive Bias.	?","	?","	?","	?","	1986.	?"
P. E. Utgoff,"	?","	?","	?","	?","	?","	Kluwer Academic Publishers","	Boston"," MA:	?","	Machine Learning of Inductive Bias.	?","	?","	?","	?","	1986.	?"
"P. Utgoff.	?","	?","	?","	?","	?","	Kluwer Academic Publishers","	Boston", MA,"	?","	Machine Learning of Inductive Bias.	?","	?","	?","	?","	1986.	?"
"D. Kibler and D. W. Aha.	Learning representative exemplars of concepts: an initial case study.	?","	?","	?","	?","	Kaufmann","	Ca","	?","	Proc. 4th International Workshop on Machine Learning","	In P. Langley", editor,"	?","	?","	?","	1987.	?"
"Dennis Kibler and David W. Aha.	Learning representative exemplars of concepts: An initial case study.	?","	pages 24-30.	?","	?","	Morgan Kaufmann","	Los Altos", California,"	?","	Proceedings of the Fourth International Workshop on Machine Learning","	In Pat Langley", editor,"	?","	?","	?","	1987.	?"
"D. Kibler and D. Aha.	Learning representative exemplars of concepts: An initial case study.	?","	pages 24-30","	?","	?","	?","	Irvine", CA,"	?","	In Proc. of the 4 th International Workshop on Machine Learning","	?","	?","	?","	?","	1987.	?"
"D. Kibler and D. Aha.	Learning representative exemplars of concepts: An initial case study.	?","	pages 24-30","	?","	?","	?","	Irvine", CA,"	?","	In Proc. of the 4 th International Workshop on Machine Learning","	?","	?","	?","	?","	1987.	?"
"Dennis Kibler and David W. Aha.	Learning representative exemplars of concepts: An initial case study.	?","	?","	?","	?","	?","	Irvine", CA,"	?","	In Proceedings of the 4 th International Workshop on Machine Learning","	?","	?","	?","	?","	1987.	?"
"Dennis Kibler and David W. Aha.	Learning representative exemplars of concepts: An initial case study.	?","	?","	?","	?","	?","	Irvine", CA,"	?","	In Proceedings of the 4 th International Workshop on Machine Learning","	?","	?","	?","	?","	1987.	?"
Utgoff, P.E.," and P.S. Heitman.	Learning and Generalizing Move Selection Preferences.	?","	36-40.	?","	?","	?","	Stanford"," California.	?","	In Proceedings of the AAAI 1988 Spring Symposium Series: Computer Game Playing","     	?","	?","	?","	?","	1988.	?"
Kibler D. & Langley," P.	Machine Learning as an Experimental Science.	?","	81-92","	?","	?","	?","	Glasgow"," UK.	?","	In Proc. of the Third European Working Session on Learning","	?","	?","	?","	?","	1988.	?"
Kibler D. & Langley," P.	Machine Learning as an Experimental Science.	?","	81-92","	?","	?","	?","	Glasgow"," UK.	?","	In Proc. of the Third European Working Session on Learning","	?","	?","	?","	?","	1988.	?"
Kibler D. & Langley," P.	Machine Learning as an Experimental Science.	?","	81-92","	?","	?","	?","	Glas-gow"," UK.	?","	In Proceedings of the Third European Working Session on Learning","	?","	?","	?","	?","	1988.	?"
P. E. Utgoff,"	Improved Training via Incremental Learning","	?","	pgs. 62 - 65.	?","	?","	(Morgan Kaufmann","	?","	?","	Proceedings of the Sixth International Workshop on Machine Learning","	?","	?","	?","	?","	1989	?"
"David Ruby and Dennis Kibler.	Learning subgoal sequences for planning.	?","	pages 609-614","	?","	?","	?","	Detroit", MI,"	?","	In Proceedings of the Eleventh International Joint Conference on Artificial       Intelligence","     	?","	?","	?","	?","	1989.	?"
"D. Kibler and D. Aha.	Comparing instance-saving with instance-averaging learn ing algorithms.	?","	?","	?","	?","	Kluwer Academic Publisher", Norwell,"	MA","	?","	Change of Representation and Inductive Bias.	In D.P.Benjamin", editor,"	?","	?","	?","	1989.	?"
D. Kibler, D. W. Aha," and M. K. Albert.	Instance-Based Prediction of Real-Valued Attributes.	5	51-57","	?","	Computational Intelligence","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?"
D. Kibler, D. W. Aha," and M. K. Albert.	Instance-Based Prediction of Real-Valued Attributes.	5	51-57","	?","	Computational Intelligence","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?"
Utgoff, P.,"	Incremental Induction of Decision Trees.	?","	161-186.	?","	?","	?","	?","	?","	Machine Learning 4","	?","	?","	?","	?","	1989.	?"
"P.E. Utgoff and C.E. Brodley.	An incremental method for finding mul--tivariate splits for decision trees.	?","	pages 58-65.	?","	?","	?","	University of Texas", Austin, Texas,"	?","	In Machine Learning:Proceedings of the Seventh International Conference","	?","	?","	?","	?","	1990.	?"
D. Aha, D. Kibler," and M. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. Aha, D. Kibler," and M. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
Aha, David W., Dennis Kibler," Marc K. Albert.	Instance-Based Learning Algorithms.	6","	pp. 37-66.	?","	Machine Learning.	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. Aha, D. Kibler," and M. Albert.	Instance-based Learning Algorithms.	Vol. 6","	pp. 37-66.	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. Aha, D. Kibler," and M. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. Aha, D. Kibler," and M. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. Aha, D. Kibler," and M. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
Aha, D., Kibler, D. and Albert," M.	Instance-Based Learning Algorithms.	6	37-66.	?","	Machine Learning	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. Aha, D. Kibler," and M. Albert.	Instance-Based Learning Algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. Aha, D. Kibler," and M. Albert.	Instance-Based Learning Algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. Aha, D. Kibler," and M. Albert.	Instance-Based Learning Algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D.W. Aha, D. Kibler," and M.K. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
David W. Aha, Dennis Kibler," and Mark K. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
David W. Aha, Dennis Kibler," and Mark K. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
Aha, D. W., D. Kibler," and M. Albert.	Instance-based learning algorithms.	7	37-66.	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
Aha, D. W.; Kibler, D.; and, Albert," M. K.	Instance-based learning algorithms.	6:	37-66.	?","	Mac hine Learning	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
Aha, D., D. Kibler," and M. Albert.	Instance-based learning algorithms.	6	37-66.	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D Aha, D Kibler," and M Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D W Aha, D Kibler," and M K Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. Aha, D. Kibler," and M. Albert.	Instance-based learning algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. Aha, D. Kibler," and M. Albert.	Instance-based learning algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instancebased learning algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D.W. Aha, D. Kibler," and M.K. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. Albert.	Instance-based learning algorithms.	6:	37 -66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-Based Learning Algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-Based Learning Algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
David W. Aha, Dennis Kibler," and Marc K. Albert.	Instance-based learning algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D W Aha, D Kibler," and M K Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. Aha, D. Kibler," and M. Albert.	Instance-based learning algorithms.	6:	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and J. K. Albert.	Instance-based learning algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
David W. Aha, Dennis Kibler," and Marc K. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
David W. Aha, Dennis Kibler," and Marc K. Albert.	Instance-based learning algorithms.	6(1)	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. Aha," D. Kibler and M. Albert.	Instance-Based Learning Algorithms.	6","	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. Aha, D. Kibler," and M. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Al-bert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Al-bert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
D. W. Aha, D. Kibler," and M. K. Albert.	Instance-based learning algorithms.	6	37-66","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?"
