address,authors,authors_original,booktitle,date,editor,editors_original,id,institution,journal,month,note,pages,publisher,tech,title,type,volume,year
,d w aha d kibler and m k albert ,d w aha d kibler and m k albert ,,,,,984,,machine learning ,,,37 66 ,,,instance based learning algorithms ,,6 1 ,1991
,david w aha dennis kibler and marc k albert ,david w aha dennis kibler and marc k albert ,,,,,985,,machine learning ,,,37 66 ,,,instance based learning algorithms ,,6,1991
,david w aha dennis kibler and marc k albert ,david w aha dennis kibler and marc k albert ,,,,,986,,machine learning ,,,37 66 ,,,instance based learning algorithms ,,6 1 ,1991
,aha d kibler d and albert m ,aha d kibler d and albert m ,,,,,987,,machine learning ,,,37 66 ,,,instance based learning algorithms ,,6,1991
,aha d kibler d and albert m ,aha d kibler d and albert m ,,,,,988,,machine learning ,,,37 66 ,,,instance based learning algorithms ,,6 1 ,1991
,aha d kibler d and albert m ,aha d kibler d and albert m ,,,,,989,,machine learning ,,,37 66 ,,,instance based learning algorithms ,,6 1 ,1991
,aha d kibler d and albert m ,aha d kibler d and albert m ,,,,,990,,machine learning ,,,37 66 ,,,instance based learning algorithms ,,6 1 ,1991
,d aha d kibler and m albert ,d aha d kibler and m albert ,,,,,991,,machine learning ,,,37 66 ,,,instance based learning algorithms ,,6,1991
,d aha d kibler and m albert ,d aha d kibler and m albert ,,,,,992,,machine learning ,,,37 66 ,,,instance based learning algorithms ,,6,1991
,d w aha d kibler and m k al bert ,d w aha d kibler and m k al bert ,,,,,993,,machine learning ,,,37 66 ,,,instance based learning algorithms ,,6,1991
,d w aha d kibler and m k al bert ,d w aha d kibler and m k al bert ,,,,,994,,machine learning ,,,37 66 ,,,instance based learning algorithms ,,6,1991
,d w aha d kibler and m k albert ,d w aha d kibler and m k albert ,,,,,995,,machine learning ,,,37 66 ,,,instance based learning algorithms ,,6,1991
,d w aha d kibler and m k albert ,d w aha d kibler and m k albert ,,,,,996,,machine learning ,,,37 66 ,,,instance based learning algorithms ,,6,1991
,d w aha d kibler and m k albert ,d w aha d kibler and m k albert ,,,,,997,,machine learning ,,,37 66 ,,,instance based learning algorithms ,,6,1991
,david w aha dennis kibler and marc k albert ,david w aha dennis kibler and marc k albert ,,,,,998,,machine learning ,,,,,,instance based learning algorithms ,,6 1 ,1991
,david w aha dennis kibler and mark k albert ,david w aha dennis kibler and mark k albert ,,,,,999,,machine learning ,,,37 66 ,,,instance based learning algorithms ,,6,1991
,david w aha dennis kibler and mark k albert ,david w aha dennis kibler and mark k albert ,,,,,1000,,machine learning ,,,37 66 ,,,instance based learning algorithms ,,6,1991
,d w aha d kibler and m k albert ,d w aha d kibler and m k albert ,,,,,1001,,machine learning ,,,37 66 ,,,instance based learning algorithms ,,6,1991
,d w aha d kibler and m k albert ,d w aha d kibler and m k albert ,,,,,1002,,machine learning ,,,37 66 ,,,instance based learning algorithms ,,6,1991
,d w aha d kibler and m k albert ,d w aha d kibler and m k albert ,,,,,1003,,machine learning ,,,37 66 ,,,instance based learning algorithms ,,6,
,aha d kibler d albert m ,aha d kibler d albert m ,,,,,1004,,machine learning ,,,37 66 ,,,instance based learning algorithms ,,6,1991
,d aha d kibler and m albert ,d aha d kibler and m albert ,,,,,1005,,machine learning ,,,,,,instance based learning algorithms ,,6 3766 ,1991
,kibler d and conery j ,kibler d and conery j ,,,,,1006,irvine computational intelligence project information and computer science department university of california irvine ,,,,,,,parallelism in ai programs ,technical report ,,
karlsruhe germany ,john s conery and dennis f kibler ,john s conery and dennis f kibler ,in proceedings of international joint conference on artificial intelligence ,,,,1007,,,,,pages 539 543 ,william kaufmann los altos ,,and parallelism in logic programs ,,,1983
,j s conery and d f kibler ,j s conery and d f kibler ,,,,,1008,,new generation computing ,,,43 70 ,,,and parallelism and nondeterminism in logic programs ,,3,1985
,j s conery and d f kibler ,j s conery and d f kibler ,in proceedings of international joint conference on artificial intelligence ,,,,1009,,,,,pages 53 56 ,,,parallelism in ai programs ,,,1985
,j s conery and d f kibler ,j s conery and d f kibler ,,,,,1010,,new generation computing ,,,43 70 ,,,and parallelism and nondeterminism in logic programs ,,3,1985
,aha dw kibler d albert mk ,aha dw kibler d albert mk ,,,,,1011,,machine learning,,,37 66 ,,,instance based learning methods ,,6,1991
,d kibler and p morris ,d kibler and p morris ,in proceedings of the seventh international joint conference on artificial intelligence ,,,,1012,,,,,pages 345 347 ,,,don t be stupid ,,,1981
,dennis kibler ,dennis kibler ,,,,,1013,department of computer science university of california at irvine ,,,,,,,natural generation of heuristics by transforming the problem representation ,technical report tr 85 20 ,,1985
,kibler d ,kibler d ,,,,,1014,university of california irvine ca ,,,,,,,natural generation of heuristics by transforming the the problem representation ,technical report tr 85 20 ,,1985
,b porter and d kibler ,b porter and d kibler ,,,,,1015,,machine learning ,,,249 286 ,,,experimental goal regression a method for learning problem solving heuristics ,,1,1986
irvine ca ,kibler d and aha d ,kibler d and aha d ,in proc of the 4 th international workshop on machine learning ,,,,1016,,,,,pages 24 30 ,,,learning representative exemplars of concepts an initial case study ,,,1987
irvine ca ,dennis kibler and david w aha ,dennis kibler and david w aha ,in proceedings of the 4 th international workshop on machine learning ,,,,1017,,,,,,,,learning representative exemplars of concepts an initial case study ,,,1987
irvine ca ,dennis kibler and david w aha ,dennis kibler and david w aha ,in proceedings of the 4 th international workshop on machine learning ,,,,1018,,,,,,,,learning representative exemplars of concepts an initial case study ,,,1987
glasgow uk ,kibler d and langley p ,kibler d and langley p ,,,editor in sleeman d ,,1019,,,october,,pages 81 92 ,turing institute pitman ,,machine learning as an experimental science ,,,1988
,kibler d and langley p ,kibler d and langley p ,,,,,1020,,machine learning ,,,5 8 ,,,machine learning as an experimental science ,,3 1 ,1988
,kibler d langley p ,kibler d langley p ,,,,,1021,,machine learning ,,,5 8 ,,,machine learning as an experimental science ,,3 1 ,1988
glasgow scotland ,kibler d and langley p ,kibler d and langley p ,in proceedings of the third european working session on learning ,,,,1022,,,,,,pitman ,,machine learning as an experimental science ,,,1988
,kibler d and aha d w ,kibler d and aha d w ,,,,,1023,,computational intelligence ,,,51 57 ,,,instance based prediction of real valued attributes ,,5 2 ,1989
,kibler d and aha d w ,kibler d and aha d w ,,,,,1024,,computational intelligence ,,,51 57 ,,,instance based prediction of real valued attributes ,,5 2 ,1989
,kibler d aha d w and albert m ,kibler d aha d w and albert m ,,,,,1025,,computational intelligence ,,,51 57 ,,,instance based prediction of real valued attributes ,,5,1989
,kibler d aha d w albert m k ,kibler d aha d w albert m k ,,,,,1026,,computational intelligence ,,,51 57 ,,,instance based prediction of real valued attributes ,,5,1989
,kibler d aha d w albert m k ,kibler d aha d w albert m k ,,,,,1027,,computational intelligence ,,,51 57 ,,,instance based prediction of real valued attributes ,,5,1989
,d kibler d w aha and m k albert ,d kibler d w aha and m k albert ,,,,,1028,,computational intelligence ,,,51 57 ,,,instance based prediction of real valued attributes ,,5,1989
,d kibler d w aha and m k albert ,d kibler d w aha and m k albert ,,,,,1029,,computational intelligence ,,,51 57 ,,,instance based prediction of real valued attributes ,,5,1989
,d kibler and d w aha ,d kibler and d w aha ,,,,,1030,,computational intelligence ,,,51 57 ,,,instance based prediction of real valued attributes ,,5 2 ,1989
,d kibler and d w aha ,d kibler and d w aha ,,,,,1031,,computational intelligence ,,,51 57 ,,,instance based prediction of real valued attributes ,,5 2 ,1989
,pazzani m kibler d ,pazzani m kibler d ,,,,,1032,,machine learning,,,57 94 ,,,the utility of knowledge in inductive learning ,,9 1 ,
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1033,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
,michael pazzani and dennis kibler ,michael pazzani and dennis kibler ,,,,,1034,,machine learning ,,,57 94 ,,,the role of prior knowledge in inductive learning ,,9,1992
,michael pazzani and dennis kibler ,michael pazzani and dennis kibler ,,,,,1035,,machine learning ,,,57 94 ,,,the role of prior knowledge in inductive learning ,,9,1992
,michael pazzani and dennis kibler ,michael pazzani and dennis kibler ,,,,,1036,,machine learning ,,,57 94 ,,,the role of prior knowledge in inductive learning ,,9,1992
,micheal pazzani and dennis kibler ,micheal pazzani and dennis kibler ,,,,,1037,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
amherst ma ,dennis kibler 1993 ,dennis kibler 1993 ,in proceedings of kcsl93 3rd international workshop on knowledge compilation and speedup learning in icml93 ,,,,1038,,,,,,,,some real world domains for learning problem solvers ,,,
amherst ma ,dennis kibler 1993 ,dennis kibler 1993 ,in proceedings of kcsl93 3rd international workshop on knowledge compilation and speedup learning in icml93 ,,,,1039,,,,,,,,some real world domains for learning problem solvers ,,,
amherst ma ,dennis kibler 1993 ,dennis kibler 1993 ,in proceedings of kcsl93 3rd international workshop on knowledge compilation and speedup learning in icml93 ,,,,1040,,,,,,,,some real world domains for learning problem solvers ,,,
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1041,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9 1 ,1991
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1042,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9 1 ,1991
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1043,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9 1 ,1991
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1044,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9 1 ,1991
,pazzani m kibler d ,pazzani m kibler d ,,,,,1045,,machine learning,,, 57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
,pazzani m kibler d ,pazzani m kibler d ,,,,,1046,,in machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
,ourston d mooney r ,ourston d mooney r ,,,,,1047,,artificial intelligence ,,,273 309 ,,,theory refinement combining analytical and empirical methods ,,66 2 ,1994
,ourston d mooney r ,ourston d mooney r ,,,,,1048,,artificial intelligence ,,,273 309 ,,,theory refinement combining analytical and empirical methods ,,66 2 ,1994
,ourston d mooney r ,ourston d mooney r ,,,,,1049,,artificial intelligence ,,,273 309 ,,,theory refinement combining analytical and empirical methods ,,66 2 ,1994
,m pazzani and d kibler ,m pazzani and d kibler ,,,,,1050,,machine learning ,,,57 94 ,,,the utility of background knowledge in inductive learning ,,9,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1051,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
,m pazzani d ,m pazzani d ,,,,,1052,,,,,57 94 ,,,kibler the utility of knowledge in inductive learning machine learning ,,9 1 ,1992
,m pazzani and d kibler ,m pazzani and d kibler ,,,,,1053,,machine learning ,,,57 94 ,,,the utility of background knowledge in inductive learning ,,9,1992
,pazzani m kibler d ,pazzani m kibler d ,,,,,1054,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
,pazzani m kibler d ,pazzani m kibler d ,,,,,1055,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
,pazzani m kibler d ,pazzani m kibler d ,,,,,1056,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
,pazzani m kibler d ,pazzani m kibler d ,,,,,1057,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
,pazzani m kibler d ,pazzani m kibler d ,,,,,1058,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
,pazzani m kibler d ,pazzani m kibler d ,,,,,1059,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
,pazzani m kibler d ,pazzani m kibler d ,,,,,1060,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
,pazzani m kibler d ,pazzani m kibler d ,,,,,1061,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
,pazzani m kibler d ,pazzani m kibler d ,,,,,1062,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9 1 ,1992
,pazzani m kibler d ,pazzani m kibler d ,,,,,1063,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9 1 ,1992
,pazzani m kibler d ,pazzani m kibler d ,,,,,1064,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9 1 ,1992
,pazzani m kibler d ,pazzani m kibler d ,,,,,1065,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9 1 ,1992
,pazzani m j and kibler d ,pazzani m j and kibler d ,,,,,1066,,machine learning,,,57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1067,,machine learning journal ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9 1 ,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1068,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1069,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1070,,machine learning,,,57 94,,,the utility of knowledge in inductive learning ,,9 1 ,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1071,,machine learning ,,,,,,the utility of knowledge in inductive learning ,,9 1 ,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1072,,machine learning ,,,,,,the utility of knowledge in inductive learning ,,9 1 ,1992
,pazzani m kibler d ,pazzani m kibler d ,,,,,1073,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9 1 ,1992
,pazzani m kibler d ,pazzani m kibler d ,,,,,1074,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9 1 ,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1075,,machine learning ,,,57 94 ,,,the utility of background knowledge in inductive learning ,,9,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1076,,machine learning ,,,57 94 ,,,the utility of background knowledge in inductive learning ,,9,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1077,,machine learning ,,,57 94 ,,,the utility of background knowledge in inductive learning ,,9,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1078,,machine learning ,,,57 94 ,,,the utility of background knowledge in inductive learning ,,9,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1079,,machine learning ,,,57 94 ,,,the utility of background knowledge in inductive learning ,,9,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1080,,machine learning,,,57 94 ,,,the utility of background knowledge in inductive learning ,,9,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1081,,machine learning,,,57 94 ,,,the utility of background knowledge in inductive learning ,,9,1992
,pazzani m and kibler d ,pazzani m and kibler d ,machine learning 9,,,,1082,,,,,57 94 ,,,the utility of background knowledge in inductive learning ,,,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1083,,machine learning,,,57 94 ,,,the utility of background knowledge in inductive learning ,,9,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1084,,machine learning,,,57 94 ,,,the utility of background knowledge in inductive learning ,,9,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1085,,machine learning,,,57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1086,,machine learning,,,57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1087,,machine learning,,,54 97 ,,,the utility of prior knowledge in inductive learning ,,9,1992
,m pazzani and d kibler ,m pazzani and d kibler ,,,,,1088,,machine learning ,,,57 94 ,,,the utility of background knowledge in inductive learning ,,9,1992
,m pazzani and d kibler ,m pazzani and d kibler ,,,,,1089,,machine learning ,,,57 94 ,,,the utility of background knowledge in inductive learning ,,9,1992
,m pazzani and d kibler ,m pazzani and d kibler ,,,,,1090,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
,m pazzani and d kibler ,m pazzani and d kibler ,,,,,1091,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9 1 ,1992
,m pazzani and d kibler ,m pazzani and d kibler ,,,,,1092,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9 1 ,1992
,micheal j pazzani and dennis kibler ,micheal j pazzani and dennis kibler ,,,,,1093,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
,micheal j pazzani and dennis kibler ,micheal j pazzani and dennis kibler ,,,,,1094,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
,m pazzani and d kibler ,m pazzani and d kibler ,,,,,1095,,machine learning ,,,54 97 ,,,the utility of prior knowledge in inductive learning ,,9,1992
,m pazzani and d kibler ,m pazzani and d kibler ,,,,,1096,,machine learning ,,,54 97 ,,,the utility of prior knowledge in inductive learning ,,9,1992
,micheal j pazzani and dennis kibler ,micheal j pazzani and dennis kibler ,,,,,1097,,machine learning ,,,54 97 ,,,the role of prior knowledge in inductive learning ,,9,1992
,micheal j pazzani and dennis kibler ,micheal j pazzani and dennis kibler ,,,,,1098,,machine learning ,,,54 97 ,,,the role of prior knowledge in inductive learning ,,9,1992
,micheal j pazzani and dennis kibler ,micheal j pazzani and dennis kibler ,,,,,1099,,machine learning ,,,54 97 ,,,the role of prior knowledge in inductive learning ,,9,1992
,m pazzani and d kibler ,m pazzani and d kibler ,,,,,1100,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9 1 ,1992
,micheal j pazzani and dennis kibler ,micheal j pazzani and dennis kibler ,,,,,1101,,machine learning ,,,54 97 ,,,the role of prior knowledge in inductive learning ,,9,1992
,m pazzani and d kibler ,m pazzani and d kibler ,,,,,1102,,machine learning ,,,57 94 ,,,the utility of background knowledge in inductive learning ,,9,1992
,m pazzani and d kibler ,m pazzani and d kibler ,,,,,1103,,machine learning ,,,57 94 ,,,the utility of background knowledge in inductive learning ,,9,1992
,pazzani m and d kibler ,pazzani m and d kibler ,,,,,1104,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1105,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9 1 ,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1106,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9 1 ,1992
,m pazzani and d kibler ,m pazzani and d kibler ,,,,,1107,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1108,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9 1 ,1992
,pazzani m and kibler d ,pazzani m and kibler d ,,,,,1109,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9 1 ,1992
,m pazzani and d kibler ,m pazzani and d kibler ,,,,,1110,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9 1 ,1997
,m pazzani and d kibler ,m pazzani and d kibler ,,,,,1111,,machine learning ,,,57 94 ,,,the utility of knowledge in inductive learning ,,9 1 ,1997
,bruce porter and dennus kibler ,bruce porter and dennus kibler ,,,,,1112,,machine learning ,,,249 286 ,,,experimental goal regression a method for learning problem solving heuristics ,,1,1986
,bruce porter and dennus kibler ,bruce porter and dennus kibler ,,,,,1113,,machine learning ,,,249 286 ,,,experimental goal regression a method for learning problem solving heuristics ,,1,1986
,bruce porter and dennus kibler ,bruce porter and dennus kibler ,,,,,1114,,machine learning ,,,249 286 ,,,experimental goal regression a method for learning problem solving heuristics ,,1,1986
,bruce porter and dennus kibler ,bruce porter and dennus kibler ,,,,,1115,,machine learning ,,,249 286 ,,,experimental goal regression a method for learning problem solving heuristics ,,1,1986
,bruce porter and dennus kibler ,bruce porter and dennus kibler ,,,,,1116,,machine learning ,,,249 286 ,,,experimental goal regression a method for learning problem solving heuristics ,,1,1986
detroit mi ,david ruby and dennis kibler ,david ruby and dennis kibler ,in proceedings of the eleventh international joint conference on artificial intelligence ,,,,1117,,,,,pages 609 614 ,,,learning subgoal sequences for planning ,,,1989
san mateo ca ,ruby d kibler d ,ruby d kibler d ,proceedings ninth national conference on artificial intelligence ,,,,1118,,,,,,aaai press ,,steppingstone an empirical and analyt ical evaluation ,,,1991
san mateo ca ,ruby d kibler d ,ruby d kibler d ,proceedings ninth national conference on artificial intelligence ,,,,1119,,,,,,aaai press ,,steppingstone an empirical and analytical evaluation ,,,1991
san mateo ca ,ruby d kibler d ,ruby d kibler d ,proceedings ninth national conference on artificial intelligence ,,,,1120,,,,,,aaai press ,,steppingstone an empirical and analytical evaluation ,,,1991
,d ruby and d kibler ,d ruby and d kibler ,in proceedings of aaai 91 ,,,,1121,,,,,,aaai press ,,learning subgoal sequences for planning ,,,1991
,d ruby and d kibler ,d ruby and d kibler ,in proceedings of aaai 91 ,,,,1122,,,,,,aaai press ,,learning subgoal sequences for planning ,,,1991
,j sklansky and d f kibler ,j sklansky and d f kibler ,,,,,1123,,ieee trans syst man and cybernetics ,sept ,,637 647 ,,,a theory of nonuniformity in digitized binary pictures ,,smc 6 9 ,1976
amherst ma ,brodley c e utgoff p e ,brodley c e utgoff p e ,,,,,1124,department of computer science university of mas sachusetts ,,,,,,,multivariate versus univariate decision trees ,tech nical report coins tr 92 8 ,,1992
amherst ma ,brodley c e utgoff p e ,brodley c e utgoff p e ,,,,,1125,department of computer science university of massachusetts ,,,,,,,multivariate versus univariate decision trees ,technical report coins tr 92 8 ,,1992
amherst ma ,brodley c e and utgoff p e ,brodley c e and utgoff p e ,,,,,1126,department of computer science university of massachusetts ,,,,,,,multivariate versus univariate decision trees ,technical report 92 8 ,,1992
amherst ma ,brodley c e and utgoff p e ,brodley c e and utgoff p e ,,,,,1127,department of computer science university of massachusetts ,,,,,,,multivariate versus univariate decision trees ,technical report 92 8 ,,1992
amherst ma ,brodley c e and utgoff p e ,brodley c e and utgoff p e ,,,,,1128,department of computer science university of massachusetts ,,,,,,,multivariate versus univariate decision trees ,technical report 92 8 ,,1992
amherst ma ,brodley c e utgoff p e ,brodley c e utgoff p e ,,,,,1129,university of massachusetts department of computer and information science ,,,,,,,multivariate versus univariate decision trees , coins technical report 92 8 ,,1992
amherst ma ,brodley c e utgoff p e ,brodley c e utgoff p e ,,,,,1130,university of massachusetts department of computer and information science ,,,,,,,multivariate versus univariate decision trees , coins technical report 92 8 ,,1992
amherst ma ,brodley c e utgoff p e ,brodley c e utgoff p e ,,,,,1131,university of massachusetts department of computer and information science ,,,,,,,multivariate versus univariate decision trees , coins technical report 92 8 ,,1992
amherst ma ,brodley c e utgoff p e ,brodley c e utgoff p e ,,,,,1132,university of massachusetts department of computer and information science ,,,,,,,multivariate versus univariate decision trees , coins technical report 92 8 ,,1992
,brodley c e utgoff p e ,brodley c e utgoff p e ,,,,,1133,dept of computer science university of massachusetts atamherst,,,,,,,multivariate versus univariate decision trees ,tech rep coins cr 92 8 ,,1992
,brodley c e utgoff p e ,brodley c e utgoff p e ,,,,,1134,dept of computer science university of massachusetts at amherst ,,,,,,,multivariate versus univariate decision trees ,tech rep coins cr 92 8 ,,1992
,brodley c e utgoff p e ,brodley c e utgoff p e ,,,,,1135,dept of computer science university of massachusetts at amherst ,,,,,,,multivariate versus univariate decision trees ,tech rep coins cr 92 8 ,,1992
,brodley c e utgoff p e ,brodley c e utgoff p e ,,,,,1136,dept of computer science university of massachusetts at amherst ,,,,,,,multivariate versus univariate decision trees ,tech rep coins cr 92 8 ,,1992
,brodley c e utgoff p e ,brodley c e utgoff p e ,,,,,1137,dept of computer science university of massachusetts at amherst ,,,,,,,multivariate versus univariate decision trees ,tech rep coins cr 92 8 ,,1992
,brodley c e utgoff p e ,brodley c e utgoff p e ,,,,,1138,dept of computer science university of massachusetts at amherst ,,,,,,,multivariate versus univariate decision trees ,tech rep coins cr 92 8 ,,1992
,brodley c e utgoff p e ,brodley c e utgoff p e ,,,,,1139,dept of computer science university of massachusetts at amherst ,,,,,,,multivariate versus univariate decision trees ,tech rep coins cr 92 8 ,,1992
,brodley c e and utgoff p e ,brodley c e and utgoff p e ,,,,,1140,dept of computer science univ of mass ,,,,,,,multivariate versus univariate decision trees ,coins technical report 92 8 ,,1992
amherst massachusetts usa ,c e brodley and p e ut goff ,c e brodley and p e ut goff ,,,,,1141,department of computer science university of massachusetts ,,,,,,,multivariate versus univariate decision trees ,coins technical report 92 8 ,,1992
amherst ma ,c e brodley and p e utgoff ,c e brodley and p e utgoff ,,,,,1142,department of computer science university of massachusetts ,,,,,,,multivariate versus univariate decision trees ,coins technical report 92 8 ,,1992
u mass ,brodley c e and utgoff p e ,brodley c e and utgoff p e ,,,,,1143,dept of computer science ,,,,,,,multivariate versus univariate decision trees ,coins technical report 92 8 ,,1992
amherst ma ,carla e brodley and paul e utgoff ,carla e brodley and paul e utgoff ,,,,,1144,dept of computer science university of massachusetts ,,january,,,,,multivariate versus univariate decision trees ,technical report coins cr 92 8 ,,1992
amherst ma ,carla e brodley and paul e utgoff ,carla e brodley and paul e utgoff ,,,,,1145,dept of computer science university of massachusetts ,,january,,,,,multivariate versus univariate decision trees ,technical report coins cr 92 8 ,,1992
amherst ma ,carla e brodley and paul e utgoff ,carla e brodley and paul e utgoff ,,,,,1146,dept of computer science university of massachusetts ,,january,,,,,multivariate versus univariate decision trees ,technical report coins cr 92 8 ,,1992
amherst ma ,carla e brodley and paul e utgoff ,carla e brodley and paul e utgoff ,,,,,1147,dept of computer science university of massachusetts ,,january,,,,,multivariate versus univariate decision trees ,technical report coins cr 92 8 ,,1992
amherst ma ,carla e brodley and paul e utgoff ,carla e brodley and paul e utgoff ,,,,,1148,dept of computer science university of massachusetts ,,january,,,,,multivariate versus univariate decision trees ,technical report coins cr 92 8 ,,1992
amherst ma ,carla e brodley and paul e utgoff ,carla e brodley and paul e utgoff ,,,,,1149,dept of computer science university of massachusetts ,,january,,,,,multivariate versus univariate decision trees ,technical report coins cr 92 8 ,,1992
amherst ma ,carla e brodley and paul e utgoff ,carla e brodley and paul e utgoff ,,,,,1150,dept of computer science university of massachusetts ,,january,,,,,multivariate versus univariate decision trees ,technical report coins cr 92 8 ,,1992
amherst ma ,carla e brodley and paul e utgoff ,carla e brodley and paul e utgoff ,,,,,1151,dept of computer science university of massachusetts ,,january,,,,,multivariate versus univariate decision trees ,technical report coins cr 92 8 ,,1992
amherst ma ,carla e brodley and paul e utgoff ,carla e brodley and paul e utgoff ,,,,,1152,dept of computer science university of massachusetts ,,january,,,,,multivariate versus univariate decision trees ,technical report coins cr 92 8 ,,1992
umass ,brodley c e and utgoff p e ,brodley c e and utgoff p e ,,,,,1153,computer science dept ,,,,,,,multivariate versus univariate decision trees ,coins technical report 92 8 ,,1992
amherst massachusetts ,c e brodley and p e utgoff ,c e brodley and p e utgoff ,,,,,1154,university of massachussets ,,,to appear in machine learning ,,,,multivariate decision trees ,coins technical report 92 83 ,,1992
amherst massachusetts ,c e brodley and p e utgoff ,c e brodley and p e utgoff ,,,,,1155,university of massachussets ,,,to appear in machine learning ,,,,multivariate decision trees ,coins technical report 92 83 ,,1992
amherst massachusetts ,c e brodley and p e utgoff ,c e brodley and p e utgoff ,,,,,1156,university of massachussets ,,,to appear in machine learning ,,,,multivariate decision trees ,coins technical report 92 83 ,,1992
amherst massachusetts ,c e brodley and p e utgoff ,c e brodley and p e utgoff ,,,,,1157,university of massachusetts ,,,to appear in machine learning ,,,,multivariate decision trees ,coins technical report 92 83 ,,1992
university of massachussetts ,c e brodley and p e utgoff ,c e brodley and p e utgoff ,,,,,1158,department of computer science ,,,,,,,multivariate versus univariate decision trees ,tr 8 ,,1992
