sex,length,diameter,height,wholeWeight
F,0.68,0.5,0.185,1.741
M,0.68,0.515,0.17,16.115
M,0.69,0.525,0.2,17.825
F,0.7,0.55,0.17,1.684
M,0.7,0.555,0.2,1.858
M,0.705,0.56,0.165,1.675
M,0.72,0.565,0.2,21.055
M,0.725,0.575,0.24,2.21
M,0.74,0.57,0.18,18.725
M,0.75,0.55,0.18,1.893
I,0.21,0.17,0.045,0.0475
I,0.285,0.21,0.055,0.101
I,0.295,0.215,0.07,0.121
I,0.3,0.23,0.085,0.117
I,0.305,0.225,0.09,0.1465
I,0.335,0.255,0.08,0.168
I,0.35,0.26,0.075,0.18
I,0.355,0.27,0.075,0.1775
I,0.355,0.26,0.09,0.1985
I,0.36,0.27,0.095,0.2
I,0.36,0.275,0.075,0.2205
I,0.36,0.265,0.075,0.1845
I,0.365,0.27,0.085,0.2225
I,0.37,0.27,0.095,0.2175
I,0.375,0.28,0.08,0.2165
I,0.38,0.285,0.095,0.243
I,0.38,0.29,0.1,0.237
I,0.385,0.29,0.09,0.2365
I,0.385,0.28,0.095,0.257
I,0.385,0.3,0.09,0.308
I,0.39,0.3,0.09,0.252
I,0.39,0.285,0.1,0.281
I,0.39,0.29,0.1,0.2225
I,0.41,0.3,0.09,0.304
I,0.41,0.3,0.09,0.28
I,0.415,0.325,0.1,0.313
I,0.425,0.325,0.11,0.317
I,0.425,0.315,0.08,0.303
I,0.435,0.335,0.1,0.3295
I,0.435,0.325,0.11,0.367
I,0.45,0.34,0.095,0.3245
I,0.45,0.335,0.11,0.4195
I,0.455,0.36,0.115,0.457
I,0.46,0.35,0.11,0.4
I,0.46,0.355,0.11,0.4255
I,0.465,0.37,0.12,0.4365
I,0.465,0.345,0.11,0.393
I,0.47,0.355,0.125,0.499
I,0.475,0.36,0.145,0.6325
M,0.475,0.36,0.1,0.4285
I,0.475,0.36,0.125,0.4905
I,0.48,0.37,0.125,0.474
I,0.48,0.37,0.12,0.536
M,0.48,0.355,0.16,0.464
I,0.485,0.375,0.13,0.6025
I,0.49,0.375,0.115,0.4615
I,0.49,0.4,0.135,0.624
I,0.495,0.37,0.125,0.4715
I,0.495,0.4,0.105,0.602
I,0.5,0.4,0.12,0.616
I,0.5,0.39,0.12,0.5955
I,0.5,0.375,0.14,0.559
I,0.51,0.395,0.13,0.6025
F,0.515,0.375,0.11,0.6065
I,0.515,0.36,0.125,0.4725
I,0.515,0.35,0.105,0.4745
I,0.515,0.395,0.125,0.6635
I,0.515,0.39,0.125,0.5705
I,0.52,0.41,0.145,0.646
I,0.52,0.39,0.13,0.5545
M,0.525,0.415,0.145,0.845
I,0.525,0.39,0.12,0.664
I,0.525,0.38,0.135,0.615
I,0.525,0.4,0.14,0.654
M,0.525,0.4,0.155,0.707
I,0.53,0.42,0.12,0.5965
I,0.53,0.43,0.135,0.6255
I,0.53,0.4,0.145,0.555
I,0.53,0.42,0.13,0.8365
I,0.535,0.4,0.13,0.657
I,0.54,0.43,0.17,0.836
I,0.54,0.425,0.14,0.742
I,0.54,0.43,0.14,0.8195
M,0.54,0.455,0.14,0.972
I,0.54,0.42,0.14,0.6275
I,0.54,0.425,0.13,0.7205
I,0.54,0.425,0.135,0.686
I,0.545,0.4,0.13,0.686
I,0.545,0.375,0.12,0.543
I,0.545,0.42,0.125,0.717
M,0.55,0.435,0.14,0.7625
I,0.55,0.425,0.15,0.639
I,0.55,0.42,0.135,0.816
I,0.55,0.415,0.145,0.7815
I,0.55,0.425,0.15,0.7665
I,0.555,0.395,0.13,0.5585
I,0.555,0.435,0.14,0.765
I,0.555,0.46,0.145,0.9005
I,0.56,0.445,0.15,0.8225
I,0.56,0.44,0.13,0.7235
M,0.56,0.425,0.135,0.849
I,0.565,0.42,0.155,0.743
F,0.565,0.44,0.15,0.863
M,0.565,0.44,0.125,0.802
M,0.565,0.43,0.15,0.831
F,0.57,0.45,0.135,0.7805
M,0.57,0.45,0.14,0.795
I,0.57,0.435,0.17,0.848
I,0.57,0.43,0.145,0.833
I,0.57,0.445,0.155,0.867
I,0.57,0.445,0.145,0.7405
M,0.575,0.455,0.165,0.867
I,0.575,0.425,0.135,0.7965
F,0.575,0.47,0.155,1.116
I,0.575,0.45,0.125,0.78
M,0.575,0.47,0.185,0.985
F,0.575,0.465,0.195,0.9965
I,0.575,0.445,0.17,0.8015
I,0.575,0.45,0.135,0.807
F,0.575,0.435,0.15,10.305
M,0.575,0.445,0.16,0.839
M,0.575,0.44,0.16,0.9615
F,0.58,0.435,0.15,0.834
M,0.58,0.46,0.155,10.335
M,0.58,0.43,0.13,0.798
I,0.58,0.445,0.125,0.7095
F,0.585,0.445,0.14,0.913
M,0.59,0.49,0.165,1.207
I,0.59,0.45,0.145,1.022
I,0.59,0.46,0.145,0.9015
F,0.595,0.435,0.15,0.9
M,0.595,0.45,0.14,0.838
M,0.595,0.45,0.145,0.959
I,0.595,0.46,0.15,0.8335
F,0.6,0.46,0.155,0.9735
F,0.6,0.475,0.15,1.13
M,0.6,0.48,0.165,0.9165
I,0.6,0.48,0.17,0.9175
F,0.6,0.48,0.18,10.645
M,0.6,0.47,0.165,1.059
M,0.6,0.47,0.16,1.194
F,0.605,0.455,0.145,0.9775
M,0.605,0.475,0.145,0.884
I,0.605,0.47,0.145,0.8025
F,0.605,0.48,0.14,0.991
F,0.605,0.47,0.155,0.974
F,0.605,0.505,0.18,1.434
M,0.61,0.475,0.155,0.983
F,0.61,0.465,0.16,10.725
F,0.61,0.485,0.15,12.405
M,0.61,0.47,0.16,1.022
F,0.61,0.475,0.16,11.155
I,0.61,0.465,0.125,0.9225
M,0.61,0.47,0.17,11.185
F,0.61,0.485,0.18,12.795
M,0.615,0.47,0.16,10.175
M,0.615,0.475,0.175,1.224
I,0.62,0.485,0.18,1.154
F,0.62,0.515,0.155,13.255
M,0.62,0.515,0.175,1.221
F,0.62,0.54,0.165,1.139
I,0.62,0.49,0.16,1.066
F,0.62,0.48,0.18,12.215
I,0.62,0.47,0.14,0.8565
I,0.62,0.45,0.135,0.924
M,0.62,0.48,0.15,1.266
F,0.62,0.48,0.175,10.405
M,0.625,0.49,0.165,11.165
M,0.625,0.475,0.16,10.845
M,0.625,0.5,0.17,10.985
I,0.625,0.47,0.155,11.955
F,0.625,0.485,0.175,1.362
I,0.625,0.485,0.15,1.044
M,0.63,0.505,0.17,10.915
F,0.63,0.5,0.18,11.965
M,0.63,0.49,0.17,11.745
M,0.63,0.485,0.165,1.233
M,0.63,0.495,0.175,12.695
I,0.635,0.5,0.165,1.489
M,0.635,0.5,0.17,14.345
F,0.635,0.49,0.175,12.435
F,0.635,0.49,0.17,12.615
F,0.64,0.505,0.165,12.235
M,0.64,0.515,0.18,1.247
M,0.64,0.525,0.185,1.707
M,0.645,0.505,0.15,11.605
M,0.645,0.5,0.175,1.286
M,0.645,0.5,0.19,15.595
M,0.645,0.51,0.19,14.745
M,0.645,0.51,0.195,1.226
M,0.645,0.51,0.16,1.33
F,0.645,0.51,0.16,12.415
M,0.645,0.5,0.175,13.375
F,0.645,0.51,0.19,1.363
M,0.645,0.485,0.15,12.215
F,0.645,0.48,0.19,1.371
F,0.65,0.495,0.155,1.337
M,0.65,0.505,0.19,1.274
M,0.65,0.525,0.185,1.488
M,0.65,0.51,0.16,13.835
M,0.655,0.55,0.18,1.274
F,0.655,0.51,0.15,1.043
F,0.655,0.505,0.19,13.485
F,0.655,0.505,0.195,14.405
M,0.66,0.5,0.165,13.195
F,0.66,0.535,0.175,15.175
M,0.66,0.53,0.195,15.505
M,0.66,0.51,0.165,16.375
M,0.665,0.525,0.175,1.443
M,0.665,0.505,0.16,1.289
F,0.665,0.505,0.16,12.915
M,0.665,0.52,0.175,13.725
M,0.665,0.5,0.175,12.975
M,0.67,0.505,0.16,12.585
M,0.67,0.52,0.165,1.39
F,0.67,0.52,0.19,1.32
F,0.67,0.55,0.155,1.566
F,0.67,0.54,0.195,1.619
M,0.675,0.525,0.16,12.835
F,0.675,0.51,0.195,1.382
M,0.68,0.52,0.195,14.535
F,0.68,0.51,0.2,16.075
M,0.685,0.52,0.15,13.735
F,0.685,0.565,0.175,1.638
F,0.69,0.55,0.2,1.569
M,0.7,0.565,0.175,18.565
F,0.7,0.535,0.175,1.773
F,0.705,0.545,0.17,1.58
M,0.71,0.575,0.215,2.009
F,0.71,0.57,0.195,19.805
F,0.71,0.54,0.205,15.805
M,0.71,0.56,0.22,2.015
M,0.72,0.57,0.2,18.275
M,0.72,0.55,0.205,2.125
F,0.72,0.525,0.18,1.445
F,0.725,0.565,0.21,21.425
F,0.73,0.56,0.19,19.425
M,0.735,0.59,0.215,1.747
F,0.74,0.565,0.205,2.119
F,0.75,0.565,0.215,1.938
M,0.75,0.595,0.205,22.205
M,0.77,0.62,0.195,25.155
M,0.775,0.63,0.25,27.795
I,0.275,0.175,0.09,0.2315
I,0.375,0.245,0.1,0.394
F,0.375,0.27,0.135,0.597
M,0.39,0.28,0.125,0.564
I,0.435,0.3,0.12,0.5965
M,0.445,0.32,0.12,0.414
I,0.455,0.335,0.105,0.422
I,0.455,0.325,0.135,0.82
I,0.455,0.345,0.11,0.434
I,0.465,0.325,0.14,0.7615
M,0.465,0.36,0.115,0.5795
I,0.485,0.365,0.105,0.5205
M,0.485,0.37,0.155,0.968
I,0.485,0.345,0.16,0.869
F,0.49,0.355,0.16,0.8795
M,0.5,0.37,0.15,10.615
M,0.515,0.35,0.155,0.9225
M,0.515,0.395,0.135,1.007
M,0.525,0.365,0.17,0.9605
M,0.525,0.38,0.125,0.65
M,0.53,0.41,0.14,0.7545
F,0.535,0.425,0.135,0.771
I,0.535,0.385,0.18,10.835
I,0.545,0.42,0.165,0.8935
F,0.545,0.415,0.2,1.358
F,0.545,0.385,0.15,11.185
F,0.55,0.38,0.165,1.205
M,0.55,0.42,0.16,13.405
M,0.57,0.455,0.175,1.02
M,0.575,0.44,0.185,1.025
I,0.575,0.45,0.13,0.8145
F,0.58,0.43,0.17,1.48
M,0.585,0.455,0.145,0.953
I,0.585,0.45,0.15,0.8915
M,0.6,0.495,0.175,13.005
M,0.6,0.465,0.165,1.038
M,0.605,0.475,0.175,12.525
M,0.605,0.475,0.15,1.15
F,0.61,0.475,0.15,11.135
F,0.615,0.455,0.145,11.155
M,0.62,0.47,0.145,10.865
M,0.625,0.495,0.175,1.254
M,0.625,0.49,0.185,1.169
M,0.635,0.495,0.195,1.172
F,0.635,0.475,0.15,11.845
F,0.64,0.475,0.14,10.725
M,0.645,0.5,0.16,13.815
M,0.65,0.525,0.19,16.125
M,0.65,0.485,0.16,17.395
F,0.655,0.52,0.2,15.475
M,0.655,0.545,0.19,14.245
F,0.665,0.515,0.185,13.405
F,0.675,0.53,0.175,14.465
F,0.685,0.535,0.175,15.845
F,0.695,0.55,0.185,1.679
M,0.695,0.53,0.19,1.726
F,0.705,0.545,0.18,15.395
F,0.72,0.55,0.195,2.073
M,0.72,0.56,0.18,15.865
M,0.73,0.575,0.21,2.069
I,0.185,0.135,0.04,0.027
I,0.24,0.18,0.055,0.0555
I,0.31,0.215,0.075,0.1275
I,0.34,0.26,0.085,0.1885
I,0.35,0.265,0.08,0.2
I,0.365,0.27,0.085,0.197
I,0.365,0.275,0.085,0.223
I,0.365,0.27,0.075,0.2215
I,0.39,0.31,0.105,0.2665
I,0.405,0.3,0.09,0.269
I,0.41,0.315,0.095,0.2805
I,0.41,0.335,0.105,0.3305
I,0.415,0.31,0.09,0.2815
I,0.415,0.31,0.1,0.2805
I,0.415,0.31,0.095,0.311
I,0.42,0.325,0.1,0.368
I,0.43,0.34,0.1,0.3405
I,0.435,0.335,0.1,0.3245
I,0.435,0.33,0.11,0.38
I,0.435,0.33,0.105,0.335
I,0.435,0.345,0.12,0.3215
I,0.445,0.33,0.11,0.358
I,0.465,0.37,0.11,0.445
I,0.47,0.375,0.12,0.487
I,0.475,0.34,0.105,0.4535
I,0.485,0.385,0.13,0.568
I,0.485,0.36,0.12,0.5155
I,0.485,0.37,0.115,0.457
I,0.495,0.38,0.135,0.5095
I,0.495,0.38,0.145,0.5
I,0.495,0.375,0.14,0.494
I,0.5,0.38,0.11,0.5605
I,0.505,0.405,0.13,0.599
I,0.505,0.4,0.145,0.7045
F,0.51,0.4,0.12,0.7005
I,0.515,0.415,0.135,0.7125
I,0.515,0.42,0.15,0.6725
M,0.515,0.385,0.11,0.5785
I,0.52,0.41,0.11,0.5185
I,0.52,0.415,0.14,0.6375
I,0.52,0.395,0.125,0.5805
I,0.52,0.38,0.115,0.6645
I,0.52,0.385,0.115,0.581
I,0.525,0.415,0.12,0.596
I,0.525,0.405,0.145,0.6965
I,0.525,0.4,0.145,0.6095
I,0.53,0.43,0.14,0.677
I,0.53,0.43,0.16,0.7245
I,0.53,0.395,0.13,0.575
I,0.53,0.405,0.12,0.632
I,0.535,0.455,0.14,10.015
F,0.54,0.425,0.16,0.9455
I,0.54,0.395,0.135,0.6555
I,0.54,0.39,0.125,0.6255
I,0.545,0.425,0.14,0.8145
I,0.545,0.43,0.14,0.687
I,0.55,0.435,0.14,0.7995
I,0.55,0.45,0.13,0.804
M,0.555,0.435,0.14,0.7495
M,0.555,0.41,0.125,0.599
M,0.555,0.4,0.13,0.7075
I,0.555,0.45,0.175,0.738
M,0.555,0.455,0.135,0.837
I,0.56,0.445,0.165,0.832
F,0.565,0.445,0.125,0.8305
M,0.565,0.415,0.125,0.667
M,0.565,0.455,0.155,0.9355
I,0.565,0.435,0.145,0.8445
M,0.565,0.45,0.16,0.895
I,0.565,0.46,0.155,0.8715
M,0.57,0.46,0.155,10.005
M,0.57,0.455,0.155,0.832
M,0.57,0.44,0.175,0.9415
M,0.57,0.415,0.13,0.88
F,0.57,0.44,0.12,0.803
M,0.575,0.45,0.13,0.785
M,0.575,0.45,0.155,0.9765
M,0.575,0.435,0.135,0.992
M,0.575,0.455,0.155,1.013
M,0.575,0.445,0.145,0.876
F,0.575,0.465,0.175,1.099
I,0.575,0.45,0.135,0.8715
I,0.575,0.45,0.135,0.8245
F,0.575,0.43,0.155,0.7955
M,0.575,0.475,0.145,0.857
F,0.58,0.45,0.195,0.8265
F,0.58,0.5,0.165,0.925
M,0.58,0.44,0.15,10.465
I,0.58,0.44,0.145,0.7905
M,0.58,0.44,0.16,0.8295
M,0.595,0.455,0.15,0.886
F,0.6,0.47,0.135,0.97
M,0.6,0.46,0.17,11.805
M,0.6,0.475,0.15,0.99
F,0.6,0.465,0.16,1.133
I,0.605,0.49,0.165,1.071
F,0.605,0.455,0.145,0.862
M,0.605,0.47,0.18,11.155
M,0.61,0.48,0.14,1.031
F,0.61,0.46,0.145,11.185
F,0.61,0.46,0.155,0.957
F,0.61,0.47,0.165,11.785
M,0.615,0.47,0.145,10.285
M,0.615,0.47,0.15,10.875
F,0.615,0.495,0.16,1.255
M,0.615,0.495,0.2,1.219
M,0.62,0.49,0.16,1.035
M,0.62,0.49,0.15,1.195
F,0.62,0.495,0.17,1.062
M,0.62,0.495,0.195,15.145
M,0.62,0.47,0.15,1.309
M,0.62,0.485,0.155,10.295
M,0.625,0.495,0.155,10.485
M,0.625,0.515,0.17,1.331
M,0.625,0.505,0.185,11.565
F,0.625,0.445,0.16,1.09
F,0.625,0.52,0.18,1.354
F,0.625,0.47,0.145,0.984
M,0.63,0.49,0.155,12.525
F,0.635,0.485,0.165,12.695
F,0.635,0.52,0.165,13.405
F,0.635,0.505,0.155,12.895
M,0.635,0.525,0.16,1.195
M,0.635,0.5,0.165,1.273
M,0.635,0.515,0.165,1.229
M,0.64,0.53,0.165,11.895
F,0.64,0.48,0.145,11.145
F,0.64,0.515,0.165,13.115
I,0.64,0.49,0.135,1.1
M,0.64,0.49,0.155,11.285
F,0.64,0.485,0.185,14.195
F,0.645,0.51,0.18,16.195
M,0.645,0.49,0.175,1.32
F,0.645,0.52,0.21,15.535
I,0.65,0.52,0.15,1.238
F,0.65,0.51,0.155,1.189
F,0.65,0.51,0.185,1.375
F,0.655,0.515,0.18,1.412
F,0.655,0.525,0.175,1.348
M,0.655,0.52,0.17,11.445
F,0.66,0.535,0.205,14.415
M,0.66,0.51,0.175,1.218
F,0.665,0.5,0.15,12.475
M,0.665,0.515,0.2,12.695
M,0.665,0.525,0.18,1.429
F,0.67,0.53,0.205,14.015
M,0.675,0.515,0.15,1.312
F,0.675,0.51,0.185,1.473
M,0.68,0.54,0.19,1.623
M,0.68,0.54,0.155,1.534
M,0.685,0.535,0.155,13.845
M,0.69,0.55,0.18,16.915
M,0.695,0.545,0.185,15.715
F,0.7,0.575,0.205,1.773
M,0.7,0.55,0.175,14.405
M,0.7,0.55,0.195,16.245
F,0.705,0.535,0.22,1.866
F,0.72,0.575,0.18,16.705
M,0.72,0.565,0.19,2.081
F,0.725,0.57,0.205,16.195
F,0.75,0.55,0.195,18.325
M,0.76,0.605,0.215,2.173
I,0.135,0.13,0.04,0.029
I,0.16,0.11,0.025,0.0195
I,0.21,0.15,0.055,0.0465
I,0.28,0.21,0.075,0.1195
I,0.28,0.2,0.065,0.0895
I,0.285,0.215,0.06,0.0935
I,0.29,0.21,0.07,0.1115
I,0.29,0.21,0.06,0.1195
I,0.29,0.21,0.065,0.097
I,0.32,0.24,0.07,0.133
I,0.325,0.25,0.07,0.1745
I,0.335,0.25,0.08,0.1695
I,0.35,0.235,0.08,0.17
I,0.35,0.25,0.07,0.1605
I,0.355,0.27,0.105,0.271
I,0.36,0.27,0.085,0.2185
I,0.36,0.27,0.085,0.196
I,0.375,0.28,0.08,0.226
I,0.375,0.275,0.085,0.22
I,0.395,0.29,0.095,0.3
I,0.405,0.25,0.09,0.2875
I,0.415,0.325,0.11,0.316
I,0.425,0.315,0.095,0.3675
I,0.43,0.32,0.11,0.3675
I,0.435,0.325,0.12,0.346
M,0.45,0.33,0.105,0.4955
I,0.46,0.35,0.11,0.4675
M,0.47,0.365,0.135,0.522
I,0.47,0.375,0.105,0.441
I,0.475,0.365,0.12,0.5185
M,0.505,0.39,0.12,0.653
M,0.505,0.395,0.135,0.5915
M,0.505,0.385,0.115,0.4825
I,0.51,0.455,0.135,0.6855
M,0.515,0.4,0.14,0.6335
M,0.525,0.41,0.13,0.6875
F,0.53,0.43,0.15,0.741
F,0.53,0.405,0.13,0.6355
M,0.545,0.44,0.14,0.8395
F,0.55,0.47,0.15,0.9205
F,0.56,0.41,0.16,0.8215
M,0.565,0.445,0.145,0.9255
F,0.57,0.435,0.15,0.8295
M,0.58,0.46,0.16,1.063
M,0.59,0.465,0.165,1.115
F,0.6,0.45,0.14,0.837
M,0.605,0.445,0.14,0.982
M,0.61,0.49,0.16,1.112
F,0.625,0.515,0.18,13.485
M,0.66,0.515,0.195,15.655
I,0.255,0.19,0.06,0.086
I,0.27,0.195,0.065,0.1065
I,0.28,0.215,0.08,0.132
I,0.285,0.215,0.07,0.1075
I,0.32,0.255,0.085,0.1745
I,0.325,0.24,0.07,0.152
I,0.385,0.28,0.1,0.2755
I,0.395,0.295,0.1,0.293
F,0.4,0.305,0.16,0.368
I,0.405,0.31,0.09,0.312
I,0.415,0.305,0.12,0.336
I,0.42,0.315,0.115,0.355
I,0.44,0.305,0.115,0.379
I,0.445,0.32,0.12,0.378
M,0.45,0.35,0.13,0.4655
F,0.455,0.355,1.13,0.594
M,0.46,0.345,0.12,0.4935
M,0.46,0.345,0.11,0.4595
M,0.465,0.36,0.11,0.4955
I,0.465,0.355,0.09,0.4325
F,0.475,0.38,0.14,0.689
I,0.48,0.35,0.135,0.5465
M,0.485,0.39,0.135,0.617
I,0.49,0.37,0.11,0.538
M,0.5,0.39,0.135,0.7815
F,0.5,0.38,0.14,0.6355
M,0.505,0.385,0.13,0.6435
M,0.525,0.385,0.1,0.5115
M,0.535,0.42,0.125,0.738
F,0.535,0.42,0.13,0.699
F,0.54,0.385,0.14,0.7655
F,0.54,0.42,0.13,0.7505
F,0.545,0.43,0.16,0.844
M,0.55,0.41,0.13,0.8705
I,0.55,0.42,0.115,0.668
F,0.565,0.44,0.135,0.83
M,0.58,0.45,0.12,0.8685
F,0.58,0.435,0.15,0.839
F,0.585,0.485,0.15,1.079
M,0.595,0.465,0.15,0.919
F,0.6,0.47,0.19,11.345
F,0.61,0.43,0.14,0.909
M,0.61,0.48,0.165,12.435
F,0.62,0.49,0.16,1.056
M,0.645,0.495,0.15,12.095
M,0.65,0.5,0.14,1.238
F,0.665,0.525,0.21,1.644
M,0.685,0.55,0.2,17.725
F,0.69,0.54,0.195,12.525
F,0.705,0.57,0.185,1.761
F,0.71,0.5,0.15,13.165
M,0.72,0.585,0.22,1.914
F,0.72,0.575,0.215,2.1
F,0.73,0.555,0.18,16.895
M,0.775,0.57,0.22,2.032
F,0.505,0.39,0.115,0.66
M,0.53,0.425,0.13,0.7455
F,0.505,0.385,0.115,0.616
I,0.405,0.305,0.09,0.2825
M,0.415,0.3,0.1,0.3355
M,0.5,0.39,0.145,0.651
M,0.425,0.33,0.08,0.361
M,0.47,0.35,0.1,0.4775
F,0.4,0.31,0.115,0.3465
I,0.37,0.29,0.1,0.25
M,0.5,0.38,0.155,0.66
I,0.41,0.31,0.11,0.315
M,0.375,0.29,0.1,0.276
F,0.49,0.385,0.125,0.5395
M,0.585,0.48,0.185,1.04
M,0.595,0.455,0.155,1.041
F,0.675,0.55,0.18,16.885
M,0.665,0.535,0.225,21.835
M,0.62,0.49,0.17,12.105
I,0.325,0.25,0.055,0.166
I,0.455,0.355,0.08,0.452
M,0.525,0.405,0.13,0.7185
I,0.385,0.29,0.09,0.232
I,0.13,0.095,0.035,0.0105
I,0.18,0.13,0.045,0.0275
I,0.31,0.225,0.05,0.1445
F,0.375,0.29,0.08,0.282
F,0.48,0.38,0.12,0.608
I,0.455,0.37,0.125,0.433
M,0.425,0.325,0.1,0.3295
I,0.475,0.36,0.11,0.4555
F,0.435,0.35,0.12,0.4585
F,0.29,0.21,0.075,0.275
M,0.385,0.295,0.095,0.335
M,0.47,0.375,0.115,0.4265
F,0.5,0.4,0.125,0.5765
I,0.4,0.31,0.1,0.127
M,0.62,0.51,0.175,11.505
M,0.595,0.47,0.15,0.8915
M,0.585,0.455,0.14,0.97
M,0.32,0.24,0.08,0.18
F,0.52,0.41,0.125,0.6985
M,0.44,0.35,0.11,0.4585
F,0.44,0.33,0.115,0.4005
M,0.565,0.425,0.1,0.7145
F,0.56,0.425,0.125,0.932
F,0.59,0.455,0.175,0.966
F,0.57,0.465,0.18,0.9995
M,0.68,0.53,0.205,1.496
F,0.45,0.36,0.125,0.5065
I,0.32,0.24,0.075,0.1735
I,0.46,0.35,0.11,0.3945
M,0.47,0.37,0.105,0.4665
M,0.455,0.35,0.105,0.401
F,0.415,0.325,0.115,0.3455
M,0.465,0.35,0.12,0.5205
M,0.46,0.375,0.135,0.4935
M,0.415,0.31,0.09,0.3245
M,0.27,0.195,0.07,0.106
M,0.445,0.355,0.11,0.4415
F,0.745,0.585,0.19,1.966
F,0.4,0.3,0.115,0.3025
I,0.28,0.2,0.075,0.1225
M,0.55,0.44,0.135,0.879
M,0.58,0.46,0.165,12.275
M,0.61,0.5,0.165,12.715
M,0.62,0.495,0.175,1.806
M,0.56,0.42,0.195,0.8085
F,0.64,0.51,0.2,13.905
M,0.69,0.55,0.2,18.465
F,0.715,0.565,0.24,21.995
F,0.71,0.565,0.195,1.817
F,0.55,0.47,0.15,0.897
M,0.375,0.305,0.09,0.3245
F,0.61,0.45,0.16,1.136
I,0.38,0.28,0.085,0.2735
F,0.37,0.275,0.085,0.2405
M,0.335,0.235,0.085,0.1545
I,0.165,0.115,0.015,0.0145
M,0.285,0.21,0.075,0.1185
I,0.19,0.13,0.03,0.0295
I,0.215,0.15,0.03,0.0385
M,0.595,0.465,0.125,0.799
F,0.645,0.5,0.17,11.845
M,0.575,0.45,0.185,0.925
F,0.57,0.45,0.17,1.098
F,0.58,0.45,0.235,1.071
F,0.595,0.48,0.2,0.975
F,0.595,0.47,0.25,1.283
F,0.625,0.42,0.165,10.595
M,0.535,0.42,0.165,0.9195
M,0.55,0.43,0.16,0.9295
M,0.495,0.4,0.155,0.8085
I,0.32,0.235,0.08,0.1485
M,0.445,0.34,0.12,0.4475
F,0.52,0.4,0.125,0.6865
M,0.495,0.385,0.135,0.6335
M,0.47,0.37,0.135,0.547
F,0.49,0.37,0.14,0.585
M,0.58,0.47,0.165,0.927
M,0.645,0.495,0.185,14.935
F,0.575,0.485,0.165,10.405
I,0.215,0.17,0.055,0.0605
I,0.43,0.325,0.11,0.3675
I,0.26,0.215,0.08,0.099
I,0.37,0.28,0.09,0.233
I,0.405,0.305,0.105,0.3625
I,0.27,0.19,0.08,0.081
F,0.68,0.55,0.2,1.596
F,0.65,0.515,0.195,14.005
F,0.645,0.49,0.215,1.406
M,0.57,0.405,0.16,0.9245
M,0.615,0.48,0.19,1.36
M,0.42,0.345,0.105,0.43
I,0.275,0.22,0.08,0.1365
F,0.29,0.225,0.075,0.14
M,0.42,0.34,0.115,0.4215
F,0.625,0.525,0.215,15.765
F,0.55,0.465,0.18,12.125
M,0.66,0.505,0.2,16.305
M,0.565,0.47,0.195,1.142
F,0.595,0.495,0.235,1.366
M,0.63,0.51,0.23,1.539
F,0.43,0.325,0.12,0.445
F,0.455,0.35,0.14,0.5725
I,0.33,0.26,0.08,0.19
F,0.515,0.415,0.13,0.764
M,0.495,0.39,0.15,0.853
F,0.485,0.375,0.145,0.5885
F,0.535,0.46,0.145,0.7875
M,0.58,0.465,0.175,1.035
F,0.625,0.525,0.195,1.352
F,0.555,0.455,0.18,0.958
F,0.55,0.425,0.145,0.797
M,0.59,0.475,0.155,0.857
I,0.355,0.28,0.11,0.2235
I,0.275,0.2,0.075,0.086
F,0.505,0.39,0.175,0.692
M,0.37,0.28,0.095,0.2225
M,0.555,0.43,0.165,0.7575
F,0.505,0.4,0.165,0.729
F,0.56,0.445,0.18,0.903
M,0.595,0.475,0.17,10.965
F,0.57,0.45,0.165,0.903
M,0.6,0.48,0.175,1.229
F,0.56,0.435,0.185,1.106
M,0.585,0.465,0.19,1.171
I,0.46,0.335,0.11,0.444
F,0.46,0.36,0.115,0.4755
M,0.415,0.315,0.125,0.388
F,0.435,0.32,0.12,0.3785
F,0.475,0.38,0.135,0.486
M,0.465,0.36,0.13,0.5265
I,0.355,0.28,0.1,0.2275
M,0.46,0.375,0.14,0.5105
F,0.38,0.325,0.11,0.3105
F,0.47,0.365,0.12,0.543
M,0.36,0.27,0.09,0.2225
F,0.585,0.455,0.165,0.998
M,0.655,0.59,0.2,15.455
M,0.6,0.485,0.175,12.675
F,0.57,0.46,0.17,1.1
F,0.645,0.5,0.2,14.285
M,0.65,0.495,0.18,1.793
M,0.51,0.395,0.145,0.6185
M,0.52,0.38,0.135,0.5825
M,0.495,0.415,0.165,0.7485
M,0.43,0.335,0.115,0.406
F,0.59,0.465,0.16,11.005
M,0.55,0.46,0.175,0.869
M,0.585,0.43,0.16,0.955
F,0.58,0.455,0.16,0.9215
F,0.62,0.51,0.15,1.456
I,0.59,0.45,0.16,0.893
F,0.72,0.575,0.215,2.226
F,0.635,0.51,0.175,12.125
F,0.61,0.48,0.175,10.675
F,0.545,0.445,0.175,0.8525
M,0.57,0.45,0.16,0.8615
F,0.6,0.475,0.18,1.162
F,0.52,0.41,0.17,0.8705
M,0.635,0.51,0.21,1.598
F,0.67,0.52,0.15,1.406
M,0.695,0.57,0.2,2.033
M,0.655,0.525,0.185,1.259
F,0.62,0.48,0.23,10.935
F,0.6,0.475,0.18,11.805
M,0.51,0.405,0.13,0.7175
M,0.525,0.405,0.135,0.7575
M,0.44,0.375,0.13,0.487
I,0.485,0.415,0.14,0.5705
F,0.495,0.385,0.13,0.6905
I,0.435,0.345,0.12,0.4475
